timestamp,image_hash,predicted_label,correct_label,image_path
2026-03-06T20:26:53,787e7cdcc224e1e6,Real,Fake,/home/kernel/Projects/deepfake/New-project/feedback/images/787e7cdcc224e1e6_Fake.jpg
2026-03-06T20:28:44,787e7cdcc224e1e6,Real,Fake,/home/kernel/Projects/deepfake/New-project/feedback/images/787e7cdcc224e1e6_Fake.jpg
2026-03-06T20:30:08,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/deepfake/New-project/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T20:31:10,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/deepfake/New-project/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T20:32:25,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/deepfake/New-project/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T20:32:31,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/deepfake/New-project/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:30:57,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:31:49,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:32:50,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:32:54,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:05,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:06,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:06,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:06,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:06,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:06,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:07,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:07,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:07,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:08,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:08,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:08,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
2026-03-06T23:34:08,36bd0c9d3614a125,Real,Fake,/home/kernel/Projects/DeepFake_Predication/ImagePredication/feedback/images/36bd0c9d3614a125_Fake.jpg
